┏━━━━━━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━━┓
┃ id        ┃ q1   ┃ q2   ┃ q3   ┃ q4   ┃ q5   ┃ q6   ┃ q7   ┃ total ┃
│ 212005453 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 10.00 │
│ 221008264 │ -    │ -    │ -    │ -    │ -    │ -    │ -    │ 0     │
│ 221008267 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 10.00 │
│ 221008294 │ 0.75 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 9.75  │
│ 221008310 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 10.00 │
│ 221022014 │ 0.25 │ 0.67 │ 1.50 │ 0.33 │ 2.00 │ 1.50 │ 2.00 │ 8.25  │
│ 221022266 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 10.00 │
│ 221022696 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 10.00 │
│ 221029249 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 10.00 │
│ 221034973 │ -    │ -    │ -    │ -    │ -    │ -    │ -    │ 0     │
│ 221037465 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 10.00 │
│ 222006383 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 10.00 │
│ 222015112 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 1.50 │ 9.50  │
│ 222024283 │ 0.75 │ 0.33 │ 1.25 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 8.83  │
│ 222037737 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 10.00 │
│ 231011785 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 0.00 │ 2.00 │ 8.50  │
│ 231026474 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 10.00 │
│ 231026625 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 10.00 │
│ 231026975 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 10.00 │
│ 231032121 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 0.00 │ 0.00 │ 2.00 │ 6.50  │
│ 231035428 │ 1.00 │ 1.00 │ 1.50 │ 1.00 │ 2.00 │ 1.50 │ 2.00 │ 10.00 │
└───────────┴──────┴──────┴──────┴──────┴──────┴──────┴──────┴───────┘
